43,Ryan Lancaster,62,M,Estonian,696433,4
44,Krysta Harrington,18,F,British,260281,0
45,Harvey Butler,62,M,Greek,394468,5
46,Eleanora Padilla,62,F,Salvadorian,866771,4
47,Marcos Walton,21,M,Afghan,929183,1
48,Carmelina Langley,53,F,Costa Rican,123199,5
49,Elliott Hull,46,M,Russian,405617,3
50,Somer Calhoun,69,F,Finnish,884003,0
51,Eldon Wiley,35,M,Swedish,460771,2
52,Margrett Hodge,44,F,Uruguayan,938056,1
53,Erwin Le,31,M,Spanish,955664,0
54,Timika Bright,48,F,Taiwanese,718321,1
55,Aron Stanley,32,M,German,423704,4
56,Mickie Simpson,70,F,English,511853,3
57,Raymon Pearson,22,M,Ukrainian,125660,5
58,Johanne Hammond,29,F,Dutch,898924,4
59,Del Gordon,42,M,Swedish,687229,1
60,Samira Ball,48,F,Russian,859581,3
61,Jeramy Bullock,18,M,Guatemalan,238224,2
62,Nicol Cotton,54,F,Dominican,861333,4
63,Rusty Allison,29,M,Saudi,812649,5
64,Jesus Luna,37,F,Finnish,973014,4
65,Odis Duffy,54,M,Portuguese,155519,4
66,Lurlene Williamson,62,F,Brazilian,220515,0
67,Diego Short,68,M,Costa Rican,587587,5
68,Klara Schmidt,67,F,Guatemalan,128250,2
69,Buford Everett,67,M,Taiwanese,347857,4
70,Mike Garner,44,F,Cambodian,632627,4
71,Reed Castillo,63,M,Bolivian,573527,3
72,Demetrice Montoya,38,F,Venezuelan,305884,0
73,Archie Case,18,M,Danish,653989,0
74,Suzi Campos,29,F,Venezuelan,84673,5
75,Reed Whitley,55,M,Canadian,307736,3
76,Branda Rosales,52,F,Brazilian,159372,5
77,Lewis Baker,61,M,Japanese,475605,3
78,Rheba Terry,36,F,English,508048,2
79,Jarrett Fuller,38,M,Dominican,910266,2
80,Karima Wheeler,35,F,Canadian,968205,1
81,Louis Conrad,43,M,Saudi,201469,5
82,Sanda Duffy,47,F,Swedish,433221,1
83,Luke Vang,39,M,Chinese,1308,4
84,Britteny Slater,35,F,Swiss,140844,1
85,Abraham Castaneda,30,M,Romanian,752317,2
86,Veronika Murphy,60,F,Jordanian,166422,2
87,Reed Webster,44,M,Cambodian,420857,3
88,Johnny Dawson,24,F,Taiwanese,391573,3
89,Cary Schultz,30,M,Dutch,270808,0
90,Emmy Austin,55,F,Venezuelan,738668,3
91,Bryon Barron,20,M,Egyptian,847437,5
92,Rozella Gay,38,F,Polish,878039,1
93,Isidro Battle,28,M,Ecuadorian,357246,3
94,Merri Riggs,21,F,Israeli,614554,1
95,Joan Armstrong,55,M,Brazilian,491685,4
96,Emmy Osborn,64,F,Romanian,235728,3
97,Denny Berger,37,M,Taiwanese,546588,5
98,Shanelle Rivas,60,F,Ukrainian,807202,0
99,Dan Fields,26,M,Brazilian,951558,3
100,Seema Adams,67,F,Ecuadorian,812416,4
101,Hipolito Tate,59,M,Romanian,124547,2
102,Jaye Weeks,43,F,Cuban,805007,2
103,Renaldo Mueller,32,M,Dutch,570474,3
104,Micki Drake,32,F,Estonian,21024,3
105,Timothy Fulton,43,M,German,788142,0
106,Ozella Rodgers,25,F,Dominican,476883,0
107,Carmen Bright,36,M,Ukrainian,676545,0
108,Magen Rhodes,51,F,Portuguese,634742,4
109,Ethan Sullivan,36,M,Iranian,908421,3
110,Sherika Hicks,26,F,Bolivian,155136,0
111,Darrel Delacruz,20,M,Ukrainian,162666,4
112,Margeret Wooten,41,F,Australian,540213,5
113,Benny Sosa,63,M,Uruguayan,940895,2
114,Nohemi Hoffman,69,F,Swedish,658748,2
115,Raymundo Short,37,M,Afghan,699222,4
116,Love Merritt,22,F,French,713544,3
117,Arnoldo Swanson,48,M,Jordanian,792649,1
118,Fumiko Clarke,29,F,Dutch,974461,4
119,Keven Meyer,20,M,Israeli,613967,0
120,Eleonore England,37,F,Latvian,895305,0
121,Zachary Rowe,38,M,Saudi,523790,4
122,Gwenn Hood,56,F,Spanish,108966,3
123,Ezra Sykes,67,M,Venezuelan,822048,1
124,Ranae Johnson,53,F,Spanish,178509,2
125,Hiram Leonard,63,M,Australian,496777,0
126,Genesis Stephens,23,F,Dutch,473021,2
127,Osvaldo Mcdonald,69,M,Colombian,316432,2
128,Shawanna Pickett,62,F,Japanese,170435,1
129,Chuck Wooten,54,M,Chinese,533023,4
130,Tesha Whitney,28,F,Australian,833360,0
131,Jefferey Mcneil,31,M,Dominican,598864,2
132,Tajuana Hoover,56,F,Colombian,12705,5
133,Phillip Joyner,65,M,Afghan,561845,3
134,Laurine Stone,49,F,Belgian,120379,0
135,Art Benson,57,M,Puerto Rican,55007,3
136,Yuriko Hebert,42,F,Afghan,261144,0
137,Dana Slater,49,M,Costa Rican,398395,3
138,Shila Wiggins,50,F,Polish,115613,2
139,Genaro Martin,65,M,Cameroonian,565051,5
140,Xuan Mcfadden,33,F,Greek,671680,2
141,John Brock,52,M,Polish,127966,5
142,Monserrate Morrison,61,F,British,378157,3
143,Neil Russo,64,M,Swedish,466103,5
144,Mathilda Coleman,19,F,Ukrainian,886885,3
145,Mario Noel,30,M,Argentinian,52739,2
146,Xuan Brady,26,F,English,6018,2
147,Lyman Gilbert,38,M,English,732163,2
148,Doria Huffman,61,F,Chilean,295474,5
149,Bart Rasmussen,50,M,Canadian,188387,0
150,Annice James,50,F,Cameroonian,987758,2
151,Derek Terry,32,M,Taiwanese,657011,3
152,Leonia Hudson,36,F,Chinese,162083,1
153,Noble Short,61,M,Estonian,740696,3
154,Sean Terry,32,F,French,910523,5
155,Reid Benton,41,M,Cambodian,472495,4
156,Britni Blankenship,35,F,Mexican,250288,2
157,Ernest Lancaster,39,M,Bolivian,885290,1
158,Adriene Luna,62,F,Portuguese,565917,5
159,Oscar Valentine,51,M,Irish,293061,5
160,Terresa Stafford,46,F,Uruguayan,395212,2
161,Jeffrey Whitney,35,M,Swiss,362957,0
162,Whitley Chang,61,F,Cambodian,60528,4
163,Cole Caldwell,63,M,Taiwanese,753652,3
164,Augustina Kelley,38,F,Taiwanese,600620,2
165,Valentine Hewitt,33,M,Polish,893147,3
166,Loreen Irwin,18,F,British,901046,3
167,Randolph Padilla,52,M,Colombian,313995,1
168,Karole Mcdowell,29,F,Uruguayan,356523,0
169,Tobias Gilbert,47,M,British,273571,3
170,Cayla Dodson,23,F,Spanish,124947,2
171,Shirley Mclean,49,M,Cambodian,355768,4
172,Lovella Vincent,41,F,Guatemalan,709724,3
173,Jess Harrison,33,M,Cuban,806976,3
174,Anika Rojas,24,F,Greek,573524,4
175,Damian Barber,56,M,Iranian,628396,5
176,Marth Graham,59,F,Dominican,108935,2
177,Jamie Jenkins,41,M,Jordanian,492914,4
178,Nicky Carney,30,F,Ecuadorian,933770,4
179,Brain Dixon,57,M,Venezuelan,379476,5
180,Loida Duke,61,F,Ecuadorian,829937,2
181,Cortez Schroeder,68,M,Swiss,258907,4
182,Natosha O'neil,47,F,German,445914,5
183,Virgil Conway,69,M,Estonian,104103,2
184,Theresia Cobb,27,F,Puerto Rican,468679,0
185,Cole Golden,27,M,Chinese,379515,4
186,Jacinda Levine,41,F,Cambodian,642785,4
187,Doyle Spears,61,M,British,924041,3
188,Meghann Brady,59,F,Jordanian,669018,0
189,Maximo Crane,59,M,Russian,966291,3
190,Katherina Todd,20,F,Cambodian,955854,0
191,Jospeh Hebert,31,M,Jordanian,642021,4
192,Isa Underwood,38,F,English,541873,0
193,Floyd Byrd,23,M,Ecuadorian,294365,0
194,Siu Fischer,63,F,Italian,723556,1
195,Basil Fowler,40,M,Iranian,441967,0
196,Vanesa Sanders,39,F,Cambodian,728536,1
197,Dale Ortiz,20,M,Romanian,649292,3
198,Margherita Mcpherson,68,F,French,812956,2
199,Jake Barlow,40,M,Israeli,986915,3
200,Svetlana Henderson,20,F,Mexican,751162,2
201,Dante Mcclure,23,M,Russian,53436,4
202,Hermila Wolfe,45,F,Swedish,866170,2
203,Dusty Mason,36,M,Russian,689879,1
204,Carlos Roman,40,F,Chilean,529423,3
205,Brock Flores,52,M,Irish,938411,2
206,Keena Maddox,45,F,Belgian,354563,5
207,Major Schneider,43,M,Spanish,377686,4
208,Nadene Hughes,67,F,Swedish,335085,0
209,Marc Collins,26,M,Ukrainian,792733,1
210,Fermina Shields,64,F,Japanese,544798,2
211,Taylor Meyers,57,M,Saudi,4589,0
212,Arlyne O'neal,39,F,Saudi,607293,0
213,Maxwell Mathis,19,M,Ecuadorian,531041,4
214,Steffanie William,51,F,Portuguese,806804,4
215,Wally Luna,18,M,Iranian,13640,5
216,Frederica Chavez,48,F,Cameroonian,153460,1
217,Jerrell Hurst,39,M,Japanese,345363,5
218,Alisia Myers,21,F,Puerto Rican,357059,3
219,Elbert Hodges,63,M,Australian,37450,0
220,Hermine Shepard,23,F,Saudi,983148,5
221,Wyatt Rojas,19,M,Argentinian,102330,0
222,Kassie Robinson,50,F,Latvian,415058,2
223,Ignacio Fischer,61,M,Argentinian,31085,2
224,Assunta Mckee,39,F,Argentinian,460936,2
225,Adrian Sears,51,M,Spanish,469798,0
226,Raylene Murray,65,F,Venezuelan,77231,4
227,Hyman Young,28,M,French,574981,5
228,Kaycee Trevino,42,F,Salvadorian,769656,4
229,Houston Rutledge,34,M,Afghan,723179,3
230,Reatha Bolton,28,F,Spanish,178951,4
231,Wiley Dean,52,M,Romanian,601349,1
232,Macie Berry,69,F,Salvadorian,636738,0
233,August Rush,50,M,Ecuadorian,374776,1
234,Hwa Mccoy,35,F,Argentinian,18697,5
235,Armand Melendez,47,M,Romanian,109452,2
236,Jacki Duncan,70,F,Japanese,418918,3
237,Eric Graves,54,M,Italian,136715,1
238,Pasty Workman,62,F,Greek,526007,2
239,Miguel Byers,44,M,Finnish,379726,0
240,Barbar Mcmillan,18,F,Danish,828918,0
241,Gregorio Mccray,19,M,Taiwanese,583980,4
242,Chi Winters,25,F,Venezuelan,845850,4
243,Scotty Hughes,54,M,Afghan,925600,4
244,Eliana Rogers,48,F,Israeli,71978,1
245,Lou Carpenter,46,M,Dominican,21753,4
246,Shaunte Russo,22,F,Polish,815120,5
247,Anthony Murphy,22,M,Japanese,319800,3
248,Gia Ross,39,F,Salvadorian,418922,2
249,Damien Adams,60,M,Cameroonian,876332,0
250,Franchesca Cobb,32,F,Taiwanese,825424,0
251,Robbie Kaufman,48,M,Ethiopian,957051,5
252,Ethyl Mcgowan,24,F,Venezuelan,705546,4
253,Normand Raymond,26,M,Chinese,625035,2
254,Magaly Bryan,25,F,Romanian,375930,2
255,Tanner Weber,21,M,Brazilian,496912,5
256,Carlena Montgomery,51,F,Colombian,456730,3
257,Oliver Massey,59,M,Irish,312529,1
258,Ileen Hoffman,36,F,Russian,907992,2
259,Garland Peck,46,M,Argentinian,832931,0
260,Joannie Wilder,61,F,Romanian,817000,3
261,Clinton Jordan,62,M,Finnish,13419,2
262,Denese Terry,36,F,Australian,432348,5
263,Zane Wilkins,21,M,Latvian,719615,1
264,Torri Short,58,F,Portuguese,507674,1
265,Leandro O'neill,39,M,Dutch,560634,3
266,Yvone Vasquez,48,F,Ethiopian,931848,3
267,Basil Lowery,52,M,Venezuelan,397422,0
268,Kathaleen Roman,66,F,Iranian,889266,3
269,Wayne Curtis,63,M,Romanian,743421,3
270,Jesusa Mcdonald,24,F,Belgian,694016,1
271,Nathaniel Lane,32,M,Canadian,694310,1
272,Raylene Booker,33,F,Australian,653732,1
273,Antoine Chandler,44,M,Ecuadorian,936538,2
274,Nery Cook,58,F,Cambodian,582467,5
275,Stacy Reese,36,M,Australian,562425,4
276,Luis Mcclain,42,F,Chinese,701644,4
277,Deandre Shaffer,25,M,Danish,942900,2
278,Georgene Caldwell,64,F,Russian,854859,1
279,Henry Stanley,41,M,Greek,77004,1
280,Serafina Rich,28,F,Latvian,792682,3
281,Shelby Saunders,39,M,Russian,160797,2
282,Marcelene Salas,34,F,Irish,818491,5
283,Darin Jackson,23,M,Argentinian,438100,3
284,Angele Guerrero,34,F,English,177912,1
285,Murray Bowen,26,M,Jordanian,768067,3
286,Dorethea Hays,60,F,Costa Rican,615244,5
287,Fletcher Winters,43,M,Ethiopian,366719,4
288,Waltraud Cohen,45,F,Japanese,935202,3
289,Darrick Lane,26,M,Chinese,448125,2
290,Sharri Hyde,36,F,Swedish,447795,5
291,Pasquale Terry,31,M,Bolivian,27695,4
292,Yee Strong,52,F,Spanish,129710,5
293,Douglas Rowe,50,M,Ecuadorian,924876,3
294,Ta Vega,46,F,Russian,375109,1
295,Genaro Kane,53,M,Mexican,552802,2
296,Rachell Wilkins,54,F,Argentinian,219431,0
297,Sam Hahn,20,M,Guatemalan,530655,4
298,Yoko Spence,63,F,Spanish,542236,2
299,Johnathan Fields,22,M,Chilean,671104,2
300,Beaulah Mcfarland,39,F,Chilean,797263,2
301,Stephen Mcpherson,31,M,Canadian,447759,4
302,Illa Melton,57,F,Portuguese,995004,2
303,Herschel Neal,58,M,Ethiopian,705845,3
304,Candie Noble,34,F,Cuban,20567,4
305,Dana Cline,26,M,Estonian,208906,5
306,Willette Daugherty,64,F,Portuguese,229823,2
307,Trenton Tillman,38,M,Taiwanese,846426,1
308,Echo Yates,23,F,Romanian,622882,3
309,Calvin Whitehead,56,M,Bolivian,513156,1
310,Belia Gray,44,F,Jordanian,786308,0
311,Nicky Morales,38,M,Cambodian,526017,0
312,Arlette Battle,70,F,Greek,509112,2
313,Logan Walsh,36,M,Russian,432543,4
314,Magen Dixon,28,F,Costa Rican,914413,0
315,Clifford Davenport,39,M,Salvadorian,280027,4
316,Michel Mitchell,28,F,English,490216,5
317,Loren Pearson,18,M,Polish,179697,3
318,Krysta Cain,60,F,Portuguese,265132,1
319,Julian Herman,41,M,Guatemalan,156927,5
320,Ling Reed,66,F,Danish,17805,4
321,Tommy Noel,29,M,Canadian,570421,3
322,Ehtel Ross,56,F,Cuban,553952,2
323,Giovanni Black,63,M,German,632497,2
324,Willetta Bright,47,F,Uruguayan,392752,1
325,Craig Navarro,18,M,Russian,405298,4
326,Allegra Mccarthy,20,F,Iranian,121517,5
327,Terry Cox,57,M,Iranian,703026,0
328,Krissy Knight,48,F,Dominican,674996,0
329,Jay Sanchez,27,M,Afghan,799982,0
330,Soraya Parks,44,F,Russian,892219,4
331,Joey Rodgers,39,M,Mexican,304712,5
332,Song Foley,48,F,Chinese,197435,2
333,Kris Buckner,57,M,Venezuelan,16611,5
334,Doreatha England,46,F,Polish,259869,2
335,Clair Cameron,63,M,Puerto Rican,543699,1
336,Katherina Nieves,57,F,Cambodian,829176,2
337,Desmond Shaffer,39,M,Latvian,381670,4
338,Ignacia Mcconnell,37,F,Danish,837900,3
339,Edgar Wilcox,42,M,Swedish,773386,0
340,Val Grimes,42,F,French,70320,2
341,Darron Jimenez,47,M,Cuban,779490,2
342,Annika Giles,33,F,Ethiopian,729853,2
343,Leo Kelly,65,M,Egyptian,317950,1
344,Lynsey Beck,49,F,Ethiopian,829173,3
345,Glenn Peterson,23,M,Ethiopian,289624,1
346,Jenine Cochran,36,F,Saudi,278787,1
347,Monte Duke,34,M,Argentinian,987889,1
348,Lexie Benson,47,F,Swedish,714141,2
349,Erin Harmon,68,M,Brazilian,505538,2
350,Emmaline Mays,49,F,Spanish,805286,1
351,Alfonzo Orr,61,M,Polish,849807,1
352,Ronald Salinas,20,F,Ethiopian,42965,0
353,Edward Edwards,56,M,Mexican,442021,2
354,Pandora Warren,58,F,Japanese,695212,0
355,Lindsay Francis,29,M,German,42631,0
356,Madelaine Yates,58,F,Danish,49399,4
357,Leroy Buckner,50,M,Chilean,980126,0
358,Catrice Davis,36,F,Estonian,502435,5
359,Geraldo Anderson,33,M,Saudi,362166,5
360,Jude Head,21,F,Russian,614529,1
361,Max Sullivan,19,M,Belgian,486819,4
362,Camie Emerson,53,F,Mexican,504402,1
363,Randy Hyde,64,M,Japanese,805051,3
364,Anisha Banks,43,F,Cambodian,442412,1
365,Lupe Marsh,65,M,Irish,925791,1
366,Merna Velazquez,68,F,Polish,788520,0
367,Edmond Holden,22,M,Finnish,312514,5
368,Shery Suarez,70,F,Venezuelan,353002,3
369,Boyce Woods,27,M,Dutch,99133,5
370,Janise Whitfield,55,F,Polish,750533,3
371,Mose Wilkinson,27,M,Polish,385836,2
372,Georgiann Flowers,57,F,Colombian,184924,2
373,Henry Sweet,43,M,Australian,925770,3
374,Dorla Ellis,61,F,Swedish,745608,0
375,Merle Farley,66,M,Iranian,676788,5
376,Daniele Kim,70,F,English,332705,2
377,Taylor Harrell,50,M,Danish,93670,4
378,Blythe Larson,53,F,French,839553,2
379,Maynard Hopper,56,M,Jordanian,503554,2
380,Margurite Raymond,70,F,Iranian,875536,3
381,Arlie Wagner,19,M,Italian,517997,4
382,Sherly Morris,36,F,Canadian,144168,2
383,Merrill Pratt,28,M,Cuban,159276,4
384,Verline Gomez,21,F,French,271757,5
385,Millard Beck,70,M,Chinese,100782,0
386,Lahoma Hull,49,F,Greek,154466,2
387,Bryan Gonzales,44,M,Cuban,457673,3
388,Hermina Pearson,70,F,Cambodian,661625,5
389,Howard Duncan,50,M,Canadian,48072,4
390,Glenn Mcdowell,69,F,Australian,803174,5
391,Son Hull,35,M,Ecuadorian,853117,5
392,Minna Odom,60,F,Swedish,733697,5
393,Jamar Everett,56,M,Egyptian,91089,1
394,Ammie Frye,23,F,Puerto Rican,432735,5
395,Jarod Key,41,M,Portuguese,94915,2
396,Lisha Trevino,62,F,Ukrainian,805667,2
397,Clifton Scott,54,M,German,712081,2
398,Marget Berger,33,F,Jordanian,248986,4
399,Dorsey Cherry,35,M,Latvian,536331,1
400,Phebe Cannon,21,F,Afghan,722923,2
401,Rocky Mathis,63,M,Egyptian,348871,0
402,Khalilah Castillo,69,F,Uruguayan,293407,3
403,Claud Lowery,48,M,Latvian,453287,2
404,Letty Baker,62,F,Brazilian,628891,5
405,Kareem Hale,19,M,Chilean,293542,2
406,Elza Bass,35,F,English,962885,4
407,Jarod West,41,M,Belgian,389269,1
408,Debroah Vang,52,F,Japanese,147738,1
409,Lowell Horton,61,M,British,197000,5
410,Shawnta Mckee,57,F,Dutch,61090,3
411,Renaldo Donovan,23,M,Romanian,294699,5
412,Austin Parks,64,F,Swiss,159915,4
413,Carroll Golden,69,M,British,453436,1
414,Rolande Salazar,65,F,Salvadorian,345464,2
415,Cedrick Delaney,53,M,Canadian,646310,3
416,Lilliana Branch,65,F,Salvadorian,366683,2
417,Dwayne Cain,62,M,Jordanian,158716,4
418,Domitila Barrett,58,F,Ukrainian,664010,3
419,Hunter Horton,68,M,Ethiopian,802701,0
420,Noella Freeman,53,F,Italian,96294,0
421,Terrence Briggs,53,M,Polish,219041,1
422,Danyell Griffith,70,F,Spanish,849430,4
423,Wilbert Bradshaw,37,M,Swiss,878715,5
424,Christene Mckenzie,68,F,Romanian,70717,3
425,Hal Figueroa,24,M,Latvian,608109,5
426,Marya Mcconnell,58,F,Belgian,860080,5
427,Leo Johns,42,M,Chinese,352691,2
428,Candra Byers,32,F,Japanese,57190,0
429,Kris Buchanan,69,M,Swiss,211649,2
430,Charita Nolan,35,F,Ukrainian,148686,0
431,Alberto Britt,58,M,Brazilian,586025,2
432,Lorita Heath,43,F,Venezuelan,939175,0
433,Woodrow Hayes,63,M,Swiss,143201,1
434,Twanda Hebert,30,F,Brazilian,989299,4
435,Felipe James,30,M,Brazilian,128393,3
436,Allegra Ward,47,F,Ukrainian,344796,2
437,Cyril Lynch,36,M,Canadian,623314,4
438,Taina Nicholson,44,F,Japanese,46586,5
439,Randal Hays,65,M,Cuban,184885,4
440,Albert Lindsey,38,F,Romanian,180808,2
441,Josue Cox,46,M,Greek,305905,2
442,Darcey Park,34,F,German,606970,5
443,Rocco Garza,54,M,Argentinian,278292,0
444,Mozell Carrillo,43,F,Dutch,776755,3
445,Forrest Melendez,48,M,Finnish,523675,2
446,Ardelle Frazier,45,F,British,113359,0
447,Joshua Calhoun,60,M,Polish,118276,2
448,Monnie Mcclain,27,F,Israeli,792892,0
449,Bart Avery,26,M,Russian,893636,3
450,Piedad Bridges,39,F,Israeli,838649,2
451,Alvaro Schneider,36,M,Salvadorian,369616,3
452,Karmen Bell,69,F,French,422791,3
453,Williams Glass,52,M,Bolivian,896680,2
454,Antonina Gates,64,F,English,240539,3
455,Leroy Blackwell,18,M,Russian,583178,2
456,Lachelle Mooney,24,F,Venezuelan,251185,0
457,Johnnie Guy,23,M,Italian,145495,3
458,Crystle Valenzuela,33,F,Irish,253796,4
459,Sebastian Guthrie,68,M,Swedish,252568,1
460,Hertha Holloway,47,F,Polish,502463,4
461,Demetrius Vega,24,M,Ethiopian,521547,5
462,Trula Lindsay,37,F,French,281441,4
463,Clay Ramirez,55,M,French,792701,3
464,Madie Sims,60,F,Greek,653256,5
465,Shelby Barlow,38,M,Afghan,222641,2
466,Susy Owens,51,F,Polish,540104,3
467,Virgilio Jenkins,59,M,Australian,430629,1
468,Lakenya Santana,40,F,Costa Rican,688867,5
469,Duncan Salinas,49,M,Colombian,111501,0
470,Hee Hooper,67,F,Portuguese,903916,2
471,Chester Hill,49,M,Cuban,774445,5
472,Luis Barber,45,F,Argentinian,7877,5
473,Wally Carr,23,M,Afghan,92765,5
474,Sharika Morton,65,F,Afghan,74266,2
475,Issac James,52,M,English,248073,4
476,Krystina Young,28,F,Finnish,706129,4
477,Shelton Weaver,63,M,Uruguayan,470920,0
478,Terrell Howell,63,F,Ethiopian,639277,5
479,Tim Williams,70,M,Australian,144141,1
480,Man Hamilton,43,F,Irish,524522,3
481,Gaston Valencia,35,M,Finnish,448206,5
482,Lore Huber,58,F,Puerto Rican,202895,3
483,Jere Colon,53,M,British,324887,0
484,Tobi Hodges,39,F,Swedish,128261,2
485,Hilton Kaufman,31,M,Costa Rican,795911,4
486,Treena Brooks,64,F,Guatemalan,543753,2
487,Burton Wyatt,56,M,Dutch,749276,5
488,Christinia Richardson,56,F,Colombian,689910,0
489,Alexander Blackwell,51,M,Belgian,72984,2
490,Sheryll Ayala,70,F,Chinese,643474,4
491,Sterling Cross,37,M,Venezuelan,892138,3
492,Teresia Simon,62,F,Dutch,773797,0
493,Gerard Sheppard,50,M,Belgian,991691,4
494,Gertrud Sharp,46,F,Italian,352814,0
495,Ariel Rice,62,M,Belgian,35507,4
496,Royce Carter,67,F,Uruguayan,648950,0
497,Denny Foster,51,M,Portuguese,963222,4
498,Skye White,30,F,Puerto Rican,786394,5
499,Werner Franklin,30,M,Russian,923380,5
500,Asley Mccarty,23,F,Cambodian,485729,1
501,Giovanni Duffy,27,M,Irish,891765,2
502,Jannet Shepard,38,F,Saudi,684887,0
503,Lucas Mercado,21,M,Chilean,554810,4
504,Magdalen Bryan,33,F,Saudi,953713,5
505,Rudy Day,35,M,Costa Rican,115320,4
506,Gary Black,25,F,Swedish,70837,4
507,Kevin Brock,24,M,Dominican,172865,2
508,Lavinia Gallegos,65,F,Danish,700433,2
509,Delmar Nguyen,18,M,German,214520,4
510,Fatimah Woodward,42,F,Spanish,623262,3
511,Harold Thompson,27,M,Israeli,959054,5
512,Chun Larson,52,F,Portuguese,488109,1
513,Gayle O'connor,51,M,Salvadorian,819957,0
514,Sharie Avery,33,F,German,835419,1
515,Marshall George,32,M,Ecuadorian,322229,5
516,Yuk Warner,56,F,Colombian,744381,3
517,Jeff Schneider,22,M,Venezuelan,615350,5
518,Keitha Albert,30,F,Polish,877908,4
519,Boyd Guzman,21,M,English,873913,2
520,Janae Mack,23,F,Argentinian,150968,5
521,Aurelio Levine,24,M,Italian,718128,5
522,Caprice Saunders,21,F,Canadian,109864,5
523,Dusty Contreras,62,M,Italian,870636,5
524,Vivien Cantrell,49,F,Brazilian,659086,1
525,Monroe Mcintyre,56,M,English,415196,5
526,Francene Christensen,66,F,Dutch,409737,2
527,Hiram Best,25,M,Iranian,883155,1
528,Basilia Mason,40,F,Ukrainian,576531,5
529,Mathew Moreno,38,M,Greek,770888,1
530,Renda Ray,62,F,Bolivian,493558,2
531,Leroy David,20,M,Danish,321812,5
532,Ema Hill,25,F,Italian,148258,3
533,Issac Levine,39,M,Italian,637187,2
534,Leanora Sutton,22,F,Venezuelan,325768,0
535,Tyler Joyner,27,M,Salvadorian,991923,1
536,Meg Maldonado,53,F,Ukrainian,517122,1
537,Darwin Rowland,55,M,Latvian,887593,1
538,Tanja Cruz,20,F,Israeli,873318,0
539,Eusebio Vang,30,M,Argentinian,278506,5
540,Risa Evans,47,F,Estonian,858303,1
541,Hershel Arnold,57,M,Swedish,258188,5
542,Tari Bond,67,F,Uruguayan,829868,1
543,Mitchell Kent,24,M,Cambodian,409134,2
544,Marylouise Hall,40,F,Irish,90474,1
545,Alfonzo Olson,32,M,Australian,101849,1
546,Latrisha Hunter,53,F,Colombian,566658,5
547,Harry Byrd,63,M,Costa Rican,787301,2
548,Cassondra Gomez,28,F,Colombian,201542,2
549,Parker Galloway,31,M,Australian,913046,2
550,Malena Witt,46,F,Ethiopian,262865,5
551,Conrad Barker,55,M,Venezuelan,449306,2
552,Merlene Hendricks,52,F,Guatemalan,984400,2
553,Dave Carey,37,M,Russian,617781,3
554,Colene Randall,68,F,Afghan,331985,3
555,Pablo Orr,66,M,Dominican,544398,5
556,Joette Prince,41,F,British,400222,4
557,Gino Goff,54,M,Puerto Rican,768578,4
558,Chassidy Fulton,43,F,Swedish,447978,5
559,Tom Haney,25,M,Chilean,685786,0
560,Tarah Singleton,40,F,Saudi,326882,2
561,Emery Molina,35,M,Cuban,732086,1
562,Lauran Bird,53,F,Costa Rican,390310,0
563,Napoleon Rollins,25,M,Japanese,748696,5
564,Estefana Boone,31,F,British,804253,1
565,Blaine Vargas,28,M,Saudi,567369,4
566,Florinda Garza,30,F,Belgian,813527,4
